1,Tokyo,35.6897,139.6922,Japan,JPN,37977000
2,Jakarta,-6.2146,106.8451,Indonesia,IDN,34540000
3,Delhi,28.66,77.23,India,IND,29617000
4,Mumbai,18.9667,72.8333,India,IND,23355000
5,Manila,14.6,120.9833,Philippines,PHL,23088000
6,Shanghai,31.1667,121.4667,China,CHN,22120000
7,Sao Paulo,-23.5504,-46.6339,Brazil,BRA,22046000
8,Seoul,37.56,126.99,"Korea, South",KOR,21794000
9,Mexico City,19.4333,-99.1333,Mexico,MEX,20996000
10,Guangzhou,23.1288,113.259,China,CHN,20902000
11,Beijing,39.905,116.3914,China,CHN,19433000
12,Cairo,30.0561,31.2394,Egypt,EGY,19372000
13,New York,40.6943,-73.9249,United States,USA,18713220
14,Kolkata,22.5411,88.3378,India,IND,17560000
15,Moscow,55.7558,37.6178,Russia,RUS,17125000
16,Bangkok,13.75,100.5167,Thailand,THA,17066000
17,Buenos Aires,-34.5997,-58.3819,Argentina,ARG,16157000
18,Shenzhen,22.535,114.054,China,CHN,15929000
19,Dhaka,23.7289,90.3944,Bangladesh,BGD,15443000
20,Lagos,6.45,3.4,Nigeria,NGA,15279000
21,Istanbul,41.01,28.9603,Turkey,TUR,15154000
22,Osaka,34.75,135.4601,Japan,JPN,14977000
23,Karachi,24.86,67.01,Pakistan,PAK,14835000
24,Bangalore,12.9699,77.598,India,IND,13707000
25,Tehran,35.7,51.4167,Iran,IRN,13633000
26,Kinshasa,-4.3233,15.3081,Congo (Kinshasa),COD,13528000
27,Ho Chi Minh City,10.8167,106.6333,Vietnam,VNM,13312000
28,Los Angeles,34.1139,-118.4068,United States,USA,12750807
29,Rio de Janeiro,-22.9083,-43.1964,Brazil,BRA,12272000
30,Nanyang,32.9987,112.5292,China,CHN,12010000
31,Baoding,38.8671,115.4845,China,CHN,11860000
32,Chennai,13.0825,80.275,India,IND,11324000
33,Chengdu,30.66,104.0633,China,CHN,11309000
34,Lahore,31.5497,74.3436,Pakistan,PAK,11021000
35,Paris,48.8566,2.3522,France,FRA,11020000
36,London,51.5072,-0.1275,United Kingdom,GBR,10979000
37,Linyi,35.0606,118.3425,China,CHN,10820000
38,Tianjin,39.1467,117.2056,China,CHN,10800000
39,Shijiazhuang,38.0422,114.5086,China,CHN,10784600
40,Zhoukou,33.625,114.6418,China,CHN,9901000
41,Lima,-12.05,-77.0333,Peru,PER,9848000
42,Hyderabad,17.3667,78.4667,India,IND,9746000
43,Handan,36.6116,114.4894,China,CHN,9549700
44,Bogota,4.6126,-74.0705,Colombia,COL,9464000
45,Weifang,36.7167,119.1,China,CHN,9373000
46,Nagoya,35.1167,136.9333,Japan,JPN,9113000
47,Wuhan,30.5872,114.2881,China,CHN,8962000
48,Heze,35.2333,115.4333,China,CHN,8750000
49,Ganzhou,25.8292,114.9336,China,CHN,8677600
50,Tongshan,34.261,117.1859,China,CHN,8669000
51,Chicago,41.8373,-87.6862,United States,USA,8604203
52,Luanda,-8.8383,13.2344,Angola,AGO,8417000
53,Changsha,28.1987,112.9709,China,CHN,8394500
54,Fuyang,32.8986,115.8045,China,CHN,8360000
55,Kuala Lumpur,3.1478,101.6953,Malaysia,MYS,8285000
56,Jining,35.4,116.5667,China,CHN,8023000
57,Dongguan,23.0475,113.7493,China,CHN,7981000
58,Jinan,36.6667,116.9833,China,CHN,7967400
59,Foshan,23.0292,113.1056,China,CHN,7905700
60,Hanoi,21.0245,105.8412,Vietnam,VNM,7785000
61,Pune,18.5196,73.8553,India,IND,7764000
62,Chongqing,29.5628,106.5528,China,CHN,7739000
63,Changchun,43.9,125.2,China,CHN,7674439
64,Zhumadian,32.9773,114.0253,China,CHN,7640000
65,Ningbo,29.875,121.5492,China,CHN,7639000
66,Cangzhou,38.3037,116.8452,China,CHN,7544300
67,Nanjing,32.05,118.7667,China,CHN,7496000
68,Hefei,31.8639,117.2808,China,CHN,7457027
69,Ahmedabad,23.03,72.58,India,IND,7410000
70,Hong Kong,22.305,114.185,Hong Kong,HKG,7347000
71,Zhanjiang,21.1967,110.4031,China,CHN,7332000
72,Shaoyang,27.2418,111.4725,China,CHN,7302400
73,Hengyang,26.8968,112.5857,China,CHN,7300600
74,Khartoum,15.6031,32.5265,Sudan,SDN,7282000
75,Nantong,31.9829,120.8873,China,CHN,7282835
76,Yancheng,33.3936,120.1339,China,CHN,7260240
77,Nanning,22.8192,108.315,China,CHN,7153300
78,Xi'an,34.2667,108.9,China,CHN,7135000
79,Shenyang,41.8039,123.4258,China,CHN,7105000
80,Tangshan,39.6292,118.1742,China,CHN,7100000
81,Santiago,-33.45,-70.6667,Chile,CHL,7007000
82,Zhengzhou,34.7492,113.6605,China,CHN,7005000
83,Shangqiu,34.4259,115.6467,China,CHN,7000000
84,Yantai,37.3997,121.2664,China,CHN,6968202
85,Riyadh,24.65,46.71,Saudi Arabia,SAU,6881000
86,Dar es Salaam,-6.8,39.2833,Tanzania,TZA,6698000
87,Xinyang,32.1264,114.0672,China,CHN,6634000
88,Shangrao,28.4419,117.9633,China,CHN,6579714
89,Luoyang,34.6587,112.4245,China,CHN,6549941
90,Bijie,27.3019,105.2863,China,CHN,6537498
91,Quanzhou,24.9139,118.5858,China,CHN,6480000
92,Hangzhou,30.25,120.1675,China,CHN,6446000
93,Miami,25.7839,-80.2102,United States,USA,6445545
94,Huanggang,30.45,114.875,China,CHN,6333000
95,Maoming,21.6618,110.9178,China,CHN,6313200
96,Kunming,25.0433,102.7061,China,CHN,6250000
97,Nanchong,30.7991,106.0784,China,CHN,6183000
98,Zunyi,27.705,106.9336,China,CHN,6127009
99,Jieyang,23.5533,116.3649,China,CHN,6089400
100,Lu'an,31.7542,116.5078,China,CHN,6090000
101,Yichun,27.8041,114.383,China,CHN,6048700
102,Madrid,40.4167,-3.7167,Spain,ESP,6026000
103,Changde,29.0397,111.6839,China,CHN,6011000
104,Taizhou,28.6583,121.4221,China,CHN,5968838
105,Liaocheng,36.45,115.9833,China,CHN,5955300
106,Qujing,25.5102,103.8029,China,CHN,5855055
107,Surat,21.17,72.83,India,IND,5807000
108,Baghdad,33.35,44.4167,Iraq,IRQ,5796000
109,Qingdao,36.1167,120.4,China,CHN,5775000
110,Singapore,1.3,103.8,Singapore,SGP,5745000
111,Dallas,32.7936,-96.7662,United States,USA,5743938
112,Dazhou,31.2152,107.4947,China,CHN,5693000
113,Suzhou,33.6333,116.9683,China,CHN,5690000
114,Xiangyang,32.0654,112.1531,China,CHN,5680000
115,Philadelphia,40.0077,-75.1339,United States,USA,5649300
116,Giza,29.987,31.2118,Egypt,EGY,5598402
117,Nairobi,-1.2864,36.8172,Kenya,KEN,5545000
118,Nangandao,35.2992,113.8851,China,CHN,5516000
119,Ankara,39.93,32.85,Turkey,TUR,5503985
120,Tai'an,36.2001,117.0809,China,CHN,5499000
121,Yulin,22.6293,110.1507,China,CHN,5487368
122,Dezhou,37.4513,116.3105,China,CHN,5470000
123,Houston,29.7863,-95.3889,United States,USA,5464251
124,Atlanta,33.7627,-84.4224,United States,USA,5449398
125,Yongzhou,26.4515,111.5953,China,CHN,5446100
126,Rangoon,16.8,96.15,Myanmar,MMR,5430000
127,Toronto,43.7417,-79.3733,Canada,CAN,5429524
128,Suihua,46.6384,126.9808,China,CHN,5420000
129,Washington,38.9047,-77.0163,United States,USA,5379184
130,Qiqihar,47.3398,123.9512,China,CHN,5367003
131,Jinhua,29.1046,119.6494,China,CHN,5361572
132,Saint Petersburg,59.95,30.3167,Russia,RUS,5351935
133,Shantou,23.3735,116.6941,China,CHN,5319028
134,Sydney,-33.865,151.2094,Australia,AUS,5312163
135,Weinan,34.4996,109.4684,China,CHN,5300000
136,Suqian,33.9331,118.2831,China,CHN,5290000
137,Guadalajara,20.6767,-103.3475,Mexico,MEX,5253000
138,Suzhou,31.304,120.6164,China,CHN,5250000
139,Fuzhou,26.0769,119.2917,China,CHN,5245000
140,Zhaotong,27.3328,103.7144,China,CHN,5213521
141,Pudong,31.2231,121.5397,China,CHN,5187200
142,Belo Horizonte,-19.9281,-43.9419,Brazil,BRA,5159000
143,Zhangzhou,24.5093,117.6612,China,CHN,5140000
144,Bozhou,33.8626,115.7742,China,CHN,5100000
145,Melbourne,-37.8136,144.9631,Australia,AUS,5078193
146,Nanchang,28.6842,115.8872,China,CHN,5042565
147,Xianyang,34.35,108.7167,China,CHN,5040000
148,Taizhou,32.4831,119.9,China,CHN,5031000
149,Surabaya,-7.2458,112.7378,Indonesia,IDN,4975000
150,Abidjan,5.3364,-4.0267,Côte D’Ivoire,CIV,4980000
151,Huaihua,27.5494,109.9592,China,CHN,4983300
152,Ji'an,27.1172,114.9793,China,CHN,4956600
153,Mianyang,31.4669,104.7385,China,CHN,4945000
154,Xiaoganzhan,30.9273,113.911,China,CHN,4921000
155,Shaoxing,30,120.5833,China,CHN,4912239
156,Alexandria,31.2,29.9167,Egypt,EGY,4870000
157,Yuncheng,35.0304,110.998,China,CHN,4860000
158,Pingdingshan,33.735,113.2999,China,CHN,4838000
159,Huizhou,23.1115,114.4152,China,CHN,4830000
160,Huai'an,33.5,119.1331,China,CHN,4799889
161,Xinpu,34.5906,119.1801,China,CHN,4790000
162,Chenzhou,25.7989,113.0267,China,CHN,4754600
163,Guilin,25.2667,110.2833,China,CHN,4747963
164,Jiujiang,29.7048,116.0021,China,CHN,4728778
165,Anqing,30.5,117.0333,China,CHN,4723000
166,Boston,42.3188,-71.0846,United States,USA,4688346
167,Huanglongsi,34.7936,114.3403,China,CHN,4676159
168,Jiangmen,22.5833,113.0833,China,CHN,4630300
169,Changzhou,31.8122,119.9692,China,CHN,4592431
170,Barcelona,41.3825,2.1769,Spain,ESP,4588000
171,Wuxi,31.5667,120.2833,China,CHN,4580000
172,Zibo,36.7831,118.0497,China,CHN,4530597
173,Jiaxing,30.7522,120.75,China,CHN,4501657
174,Dalian,38.9,121.6,China,CHN,4480000
175,Hengshui,37.7348,115.686,China,CHN,4472000
176,Harbin,45.75,126.6333,China,CHN,4458000
177,Yangzhou,32.3912,119.4363,China,CHN,4459000
178,Yibin,28.7596,104.64,China,CHN,4456000
179,Johannesburg,-26.2044,28.0416,South Africa,ZAF,4434827
180,Yiyang,28.5833,112.3333,China,CHN,4420700
181,Meizhou,24.2998,116.1191,China,CHN,4378800
182,Chifeng,42.2663,118.9223,China,CHN,4376600
183,Casablanca,33.5992,-7.62,Morocco,MAR,4370000
184,Guiyang,26.5794,106.7078,China,CHN,4365000
185,Langfang,39.5196,116.7006,China,CHN,4358839
186,Zhangjiakou,40.8108,114.8811,China,CHN,4345491
187,Izmir,38.4127,27.1384,Turkey,TUR,4320519
188,Linfen,36.0812,111.5087,China,CHN,4316610
189,Wenzhou,27.9991,120.6561,China,CHN,4310000
190,Monterrey,25.6667,-100.3,Mexico,MEX,4295000
191,Luzhou,28.8918,105.4409,China,CHN,4291000
192,Jiangguanchi,34.0244,113.8201,China,CHN,4289000
