1,Andorra,Andorra la Vella,Europe,EU,EUR,AND,3041565,http://localhost:5000/get_country/Andorra,http://localhost:5000/get_country/continent/Europe
2,United Arab Emirates,Abu Dhabi,Asia,AS,AED,ARE,290557,http://localhost:5000/get_country/United%20Arab%20Emirates,http://localhost:5000/get_country/continent/Asia
3,Afghanistan,Kabul,Asia,AS,AFN,AFG,1149361,http://localhost:5000/get_country/Afghanistan,http://localhost:5000/get_country/continent/Asia
4,Antigua and Barbuda,St. John\s,North America,NA,XCD,ATG,3576396,http://localhost:5000/get_country/Antigua%20and%20Barbuda,http://localhost:5000/get_country/continent/North%20America
5,Anguilla,The Valley,North America,NA,XCD,AIA,3573511,http://localhost:5000/get_country/Anguilla,http://localhost:5000/get_country/continent/North%20America
6,Albania,Tirana,Europe,EU,ALL,ALB,783754,http://localhost:5000/get_country/Albania,http://localhost:5000/get_country/continent/Europe
7,Armenia,Yerevan,Asia,AS,AMD,ARM,174982,http://localhost:5000/get_country/Armenia,http://localhost:5000/get_country/continent/Asia
8,Angola,Luanda,Africa,AF,AOA,AGO,3351879,http://localhost:5000/get_country/Angola,http://localhost:5000/get_country/continent/Africa
9,Antarctica,McMurdo,Antarctica,AN,,ATA,6697173,http://localhost:5000/get_country/Antarctica,http://localhost:5000/get_country/continent/Antarctica
10,Argentina,Buenos Aires,South America,SA,ARS,ARG,3865483,http://localhost:5000/get_country/Argentina,http://localhost:5000/get_country/continent/South%20America
11,American Samoa,Pago Pago,Oceania,OC,USD,ASM,5880801,http://localhost:5000/get_country/American%20Samoa,http://localhost:5000/get_country/continent/Oceania
12,Austria,Vienna,Europe,EU,EUR,AUT,2782113,http://localhost:5000/get_country/Austria,http://localhost:5000/get_country/continent/Europe
13,Australia,Canberra,Oceania,OC,AUD,AUS,2077456,http://localhost:5000/get_country/Australia,http://localhost:5000/get_country/continent/Oceania
14,Aruba,Oranjestad,North America,NA,AWG,ABW,3577279,http://localhost:5000/get_country/Aruba,http://localhost:5000/get_country/continent/North%20America
15,Åland Islands,Mariehamn,Europe,EU,EUR,ALA,661882,http://localhost:5000/get_country/Åland%20Islands,http://localhost:5000/get_country/continent/Europe
16,Azerbaijan,Baku,Asia,AS,AZN,AZE,587116,http://localhost:5000/get_country/Azerbaijan,http://localhost:5000/get_country/continent/Asia
17,Bosnia and Herzegovina,Sarajevo,Europe,EU,BAM,BIH,3277605,http://localhost:5000/get_country/Bosnia%20and%20Herzegovina,http://localhost:5000/get_country/continent/Europe
18,Barbados,Bridgetown,North America,NA,BBD,BRB,3374084,http://localhost:5000/get_country/Barbados,http://localhost:5000/get_country/continent/North%20America
19,Bangladesh,Dhaka,Asia,AS,BDT,BGD,1210997,http://localhost:5000/get_country/Bangladesh,http://localhost:5000/get_country/continent/Asia
20,Belgium,Brussels,Europe,EU,EUR,BEL,2802361,http://localhost:5000/get_country/Belgium,http://localhost:5000/get_country/continent/Europe
21,Burkina Faso,Ouagadougou,Africa,AF,XOF,BFA,2361809,http://localhost:5000/get_country/Burkina%20Faso,http://localhost:5000/get_country/continent/Africa
22,Bulgaria,Sofia,Europe,EU,BGN,BGR,732800,http://localhost:5000/get_country/Bulgaria,http://localhost:5000/get_country/continent/Europe
23,Bahrain,Manama,Asia,AS,BHD,BHR,290291,http://localhost:5000/get_country/Bahrain,http://localhost:5000/get_country/continent/Asia
24,Burundi,Bujumbura,Africa,AF,BIF,BDI,433561,http://localhost:5000/get_country/Burundi,http://localhost:5000/get_country/continent/Africa
25,Benin,Porto-Novo,Africa,AF,XOF,BEN,2395170,http://localhost:5000/get_country/Benin,http://localhost:5000/get_country/continent/Africa
26,Saint Barthélemy,Gustavia,North America,NA,EUR,BLM,3578476,http://localhost:5000/get_country/Saint%20Barthélemy,http://localhost:5000/get_country/continent/North%20America
27,Bermuda,Hamilton,North America,NA,BMD,BMU,3573345,http://localhost:5000/get_country/Bermuda,http://localhost:5000/get_country/continent/North%20America
28,Brunei Darussalam,Bandar Seri Begawan,Asia,AS,BND,BRN,1820814,http://localhost:5000/get_country/Brunei%20Darussalam,http://localhost:5000/get_country/continent/Asia
29,Bolivia,Sucre,South America,SA,BOB,BOL,3923057,http://localhost:5000/get_country/Bolivia,http://localhost:5000/get_country/continent/South%20America
30,Bonaire,Sint Eustatius and Saba,North America,NA,BON,BRE,18208140,http://localhost:5000/get_country/Bonaire,http://localhost:5000/get_country/continent/North%20America
31,Brazil,Brasília,South America,SA,BRL,BRA,3469034,http://localhost:5000/get_country/Brazil,http://localhost:5000/get_country/continent/South%20America
32,Bahamas,Nassau,North America,NA,BSD,BHS,3572887,http://localhost:5000/get_country/Bahamas,http://localhost:5000/get_country/continent/North%20America
33,Bhutan,Thimphu,Asia,AS,BTN,BTN,1252634,http://localhost:5000/get_country/Bhutan,http://localhost:5000/get_country/continent/Asia
34,Bouvet Island,Norvegia Station,Antarctica,AN,NOK,BVT,3371123,http://localhost:5000/get_country/Bouvet%20Island,http://localhost:5000/get_country/continent/Antarctica
35,Botswana,Gaborone,Africa,AF,BWP,BWA,933860,http://localhost:5000/get_country/Botswana,http://localhost:5000/get_country/continent/Africa
36,Belarus,Minsk,Europe,EU,BYR,BLR,630336,http://localhost:5000/get_country/Belarus,http://localhost:5000/get_country/continent/Europe
37,Belize,Belmopan,North America,NA,BZD,BLZ,3582678,http://localhost:5000/get_country/Belize,http://localhost:5000/get_country/continent/North%20America
38,Canada,Ottawa,North America,NA,CAD,CAN,6251999,http://localhost:5000/get_country/Canada,http://localhost:5000/get_country/continent/North%20America
39,Cocos [Keeling] Islands,West Island,Asia,AS,AUD,CCK,1547376,http://localhost:5000/get_country/Cocos%20[Keeling]%20Islands,http://localhost:5000/get_country/continent/Asia
40,Democratic Republic of the Congo,Kinshasa,Africa,AF,COD,COD,203312,http://localhost:5000/get_country/Democratic%20Republic%20of%20the%20Congo,http://localhost:5000/get_country/continent/Africa
41,Central African Republic,Bangui,Africa,AF,XAF,CAF,239880,http://localhost:5000/get_country/Central%20African%20Republic,http://localhost:5000/get_country/continent/Africa
42,Republic of the Congo,Brazzaville,Africa,AF,XAF,COG,2260494,http://localhost:5000/get_country/Republic%20of%20the%20Congo,http://localhost:5000/get_country/continent/Africa
43,Switzerland,Berne,Europe,EU,CHF,CHE,2658434,http://localhost:5000/get_country/Switzerland,http://localhost:5000/get_country/continent/Europe
44,Ivory Coast,Yamoussoukro,Africa,AF,XOF,CIV,2287781,http://localhost:5000/get_country/Ivory%20Coast,http://localhost:5000/get_country/continent/Africa
45,Cook Islands,Avarua,Oceania,OC,NZD,COK,1899402,http://localhost:5000/get_country/Cook%20Islands,http://localhost:5000/get_country/continent/Oceania
46,Chile,Santiago,South America,SA,CLP,CHL,3895114,http://localhost:5000/get_country/Chile,http://localhost:5000/get_country/continent/South%20America
47,Cameroon,Yaoundé,Africa,AF,XAF,CMR,2233387,http://localhost:5000/get_country/Cameroon,http://localhost:5000/get_country/continent/Africa
48,China,Beijing,Asia,AS,CNY,CHN,1814991,http://localhost:5000/get_country/China,http://localhost:5000/get_country/continent/Asia
49,Colombia,Bogotá,South America,SA,COP,COL,3686110,http://localhost:5000/get_country/Colombia,http://localhost:5000/get_country/continent/South%20America
50,Costa Rica,San José,North America,NA,CRC,CRI,3624060,http://localhost:5000/get_country/Costa%20Rica,http://localhost:5000/get_country/continent/North%20America
51,Cuba,Havana,North America,NA,CUP,CUB,3562981,http://localhost:5000/get_country/Cuba,http://localhost:5000/get_country/continent/North%20America
52,Cape Verde,Praia,Africa,AF,CVE,CPV,3374766,http://localhost:5000/get_country/Cape%20Verde,http://localhost:5000/get_country/continent/Africa
53,Curaçao,Willemstad,North America,NA,ANG,CUW,7626836,http://localhost:5000/get_country/Curaçao,http://localhost:5000/get_country/continent/North%20America
54,Christmas Island,The Settlement,Asia,AS,AUD,CXR,2078138,http://localhost:5000/get_country/Christmas%20Island,http://localhost:5000/get_country/continent/Asia
55,Cyprus,Nicosia,Europe,EU,EUR,CYP,146669,http://localhost:5000/get_country/Cyprus,http://localhost:5000/get_country/continent/Europe
56,Czech Republic,Prague,Europe,EU,CZK,CZE,3077311,http://localhost:5000/get_country/Czech%20Republic,http://localhost:5000/get_country/continent/Europe
57,Germany,Berlin,Europe,EU,EUR,DEU,2921044,http://localhost:5000/get_country/Germany,http://localhost:5000/get_country/continent/Europe
58,Djibouti,Djibouti,Africa,AF,DJF,DJI,223816,http://localhost:5000/get_country/Djibouti,http://localhost:5000/get_country/continent/Africa
59,Denmark,Copenhagen,Europe,EU,DKK,DNK,2623032,http://localhost:5000/get_country/Denmark,http://localhost:5000/get_country/continent/Europe
60,Dominica,Roseau,North America,NA,XCD,DMA,3575830,http://localhost:5000/get_country/Dominica,http://localhost:5000/get_country/continent/North%20America
61,Dominican Republic,Santo Domingo,North America,NA,DOP,DOM,3508796,http://localhost:5000/get_country/Dominican%20Republic,http://localhost:5000/get_country/continent/North%20America
62,Algeria,Algiers,Africa,AF,DZD,DZA,2589581,http://localhost:5000/get_country/Algeria,http://localhost:5000/get_country/continent/Africa
63,Ecuador,Quito,South America,SA,USD,ECU,3658394,http://localhost:5000/get_country/Ecuador,http://localhost:5000/get_country/continent/South%20America
64,Estonia,Tallinn,Europe,EU,EUR,EST,453733,http://localhost:5000/get_country/Estonia,http://localhost:5000/get_country/continent/Europe
65,Egypt,Cairo,Africa,AF,EGP,EGY,357994,http://localhost:5000/get_country/Egypt,http://localhost:5000/get_country/continent/Africa
66,Western Sahara,El Aaiún,Africa,AF,MAD,ESH,2461445,http://localhost:5000/get_country/Western%20Sahara,http://localhost:5000/get_country/continent/Africa
67,Eritrea,Asmara,Africa,AF,ERN,ERI,338010,http://localhost:5000/get_country/Eritrea,http://localhost:5000/get_country/continent/Africa
68,Spain,Madrid,Europe,EU,EUR,ESP,2510769,http://localhost:5000/get_country/Spain,http://localhost:5000/get_country/continent/Europe
69,Ethiopia,Addis Ababa,Africa,AF,ETB,ETH,337996,http://localhost:5000/get_country/Ethiopia,http://localhost:5000/get_country/continent/Africa
70,Finland,Helsinki,Europe,EU,EUR,FIN,660013,http://localhost:5000/get_country/Finland,http://localhost:5000/get_country/continent/Europe
71,Fiji,Suva,Oceania,OC,FJD,FJI,2205218,http://localhost:5000/get_country/Fiji,http://localhost:5000/get_country/continent/Oceania
72,Falkland Islands,Stanley,South America,SA,FKP,FLK,3474414,http://localhost:5000/get_country/Falkland%20Islands,http://localhost:5000/get_country/continent/South%20America
73,Micronesia,Palikir,Oceania,OC,USD,FSM,2081918,http://localhost:5000/get_country/Micronesia,http://localhost:5000/get_country/continent/Oceania
74,Faroe Islands,Tórshavn,Europe,EU,DKK,FRO,2622320,http://localhost:5000/get_country/Faroe%20Islands,http://localhost:5000/get_country/continent/Europe
75,France,Paris,Europe,EU,EUR,FRA,3017382,http://localhost:5000/get_country/France,http://localhost:5000/get_country/continent/Europe
76,Gabon,Libreville,Africa,AF,XAF,GAB,2400553,http://localhost:5000/get_country/Gabon,http://localhost:5000/get_country/continent/Africa
